,PID,First_Name,Last_Name,Gender,Age,Department,Location,Employee_Status,Pay_Grade,Start_Date
473,HI129533,Michael,Smith,Male,58.0,Foreman (Multiple Shifts),Outfitting Docks,3,18,2020-08-17
474,HI909252,Sarah,Martinez,Female,61.0,Foreman (Multiple Shifts),Outfitting Docks,4,25,2020-08-17
475,HI335479,John,Brown,Male,36.0,Foreman (Multiple Shifts),Outfitting Docks,1,18,2020-08-10
476,HI605170,William,Smith,Male,27.0,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2020-08-03
477,HI647580,Patricia,Martinez,Female,31.0,CNC Machinist,Storage Areas,4,25,2020-08-03
478,HI828553,William,Brown,Male,57.0,Foreman (Multiple Shifts),Testing Facilities,3,22,2020-08-03
479,HI106528,David,Brown,Male,54.0,Foreman (Multiple Shifts),Wet Docks,2,25,2020-08-03
480,HI649332,Richard,Johnson,Male,55.0,Foreman (Multiple Shifts),Dry Docks,3,18,2020-08-03
481,HI636018,Jessica,Rodriguez,Unknown,30.0,CNC Machinist,Administrative Offices,3,18,2020-07-27
482,HI541868,Mary,Davis,Female,55.0,Foreman (Multiple Shifts),Administrative Offices,3,25,2020-07-27
483,HI454831,Patricia,Jones,Unknown,52.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,4,22,2020-07-27
484,HI706235,Sarah,Brown,Female,61.0,Foreman (Multiple Shifts),Paint Shops,2,18,2020-07-27
485,HI417144,Susan,Martinez,Female,45.0,CNC Machinist,Slipways,2,22,2020-07-20
486,HI536486,Mary,Davis,Female,44.0,Foreman (Multiple Shifts),Paint Shops,4,25,2020-07-20
487,HI639315,Sarah,Jones,Female,50.0,CNC Machinist,Storage Areas,4,22,2020-07-13
488,HI148182,Richard,Davis,Male,61.0,CNC Machinist,Outfitting Docks,1,22,2020-07-13
489,HI976160,James,Jones,Male,38.0,CNC Machinist,Paint Shops,4,22,2020-07-06
490,HI837216,Michael,Jones,Male,32.0,CNC Machinist,Administrative Offices,2,25,2020-07-06
491,HI607431,Richard,Rodriguez,Male,35.0,CNC Machinist,Fabrication Shops,3,28,2020-07-06
492,HI711379,Robert,Johnson,Male,38.0,CNC Machinist,Fabrication Shops,1,25,2020-07-06
493,HI228002,Karen,Martinez,Unknown,45.0,CNC Machinist,Storage Areas,2,28,2020-06-29
494,HI465417,Charles,Garcia,Male,19.0,Foreman (Multiple Shifts),Outfitting Docks,2,22,2020-06-22
495,HI421247,William,Garcia,Male,56.0,CNC Machinist,Dry Docks,3,18,2020-06-08
496,HI572269,William,Johnson,Male,61.0,CNC Machinist,Administrative Offices,3,25,2020-06-08
497,HI081729,Joseph,Johnson,Male,51.0,CNC Machinist,Fabrication Shops,3,25,2020-06-08
498,HI575468,Charles,Davis,Male,22.0,Foreman (Multiple Shifts),Dry Docks,2,28,2020-06-08
499,HI925078,Jennifer,Jones,Female,21.0,CNC Machinist,Paint Shops,3,28,2020-06-01
500,HI238300,Robert,Jones,Male,18.0,CNC Machinist,Outfitting Docks,2,18,2020-05-25
501,HI107485,Jessica,Johnson,Female,59.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,25,2020-05-25
502,HI508500,John,Davis,Male,18.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,18,2020-05-25
503,HI564328,William,Garcia,Male,65.0,CNC Machinist,Outfitting Docks,2,18,2020-05-18
504,HI081429,Jennifer,Johnson,Female,64.0,CNC Machinist,Storage Areas,1,18,2020-05-18
505,HI485286,Michael,Davis,Male,29.0,CNC Machinist,Dry Docks,3,25,2020-05-18
506,HI299671,Elizabeth,Smith,Female,57.0,Foreman (Multiple Shifts),Testing Facilities,3,25,2020-05-18
507,HI817343,John,Martinez,Male,28.0,Foreman (Multiple Shifts),Slipways,2,22,2020-05-18
508,HI343751,Joseph,Brown,Male,21.0,Foreman (Multiple Shifts),Fabrication Shops,1,22,2020-05-18
509,HI955893,Joseph,Davis,Male,62.0,Foreman (Multiple Shifts),Storage Areas,2,28,2020-05-11
510,HI603995,Elizabeth,Rodriguez,Female,52.0,CNC Machinist,Storage Areas,1,22,2020-05-04
511,HI604990,Thomas,Smith,Male,28.0,CNC Machinist,Fabrication Shops,4,22,2020-05-04
512,HI856024,Joseph,Martinez,Male,30.0,CNC Machinist,Slipways,1,22,2020-05-04
513,HI801485,Thomas,Rodriguez,Male,51.0,Foreman (Multiple Shifts),Outfitting Docks,1,22,2020-05-04
514,HI050436,Michael,Johnson,Male,53.0,Foreman (Multiple Shifts),Dry Docks,1,18,2020-05-04
515,HI172129,Michael,Garcia,Male,52.0,Foreman (Multiple Shifts),Dry Docks,3,25,2020-04-27
516,HI396112,Mary,Miller,Female,51.0,CNC Machinist,Slipways,4,28,2020-04-20
517,HI115837,Richard,Williams,Male,58.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,22,2020-04-20
518,HI169225,John,Jones,Male,56.0,Foreman (Multiple Shifts),Fabrication Shops,2,28,2020-04-20
519,HI348227,Patricia,Miller,Female,23.0,Foreman (Multiple Shifts),Slipways,3,22,2020-04-13
520,HI841194,Karen,Brown,Female,48.0,CNC Machinist,Administrative Offices,2,28,2020-04-06
521,HI251749,Jennifer,Jones,Female,63.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,22,2020-03-30
522,HI770672,Sarah,Jones,Female,19.0,CNC Machinist,Fabrication Shops,2,25,2020-03-23
523,HI733212,Robert,Miller,Male,28.0,CNC Machinist,Paint Shops,2,18,2020-03-09
524,HI038653,Sarah,Johnson,Unknown,31.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,3,28,2020-03-09
525,HI539244,Mary,Garcia,Female,18.0,Foreman (Multiple Shifts),Slipways,2,22,2020-03-09
526,HI268358,William,Williams,Male,41.0,CNC Machinist,Paint Shops,1,25,2020-03-02
527,HI572670,Joseph,Martinez,Male,19.0,Foreman (Multiple Shifts),Dry Docks,2,22,2020-03-02
528,HI524032,Karen,Johnson,Female,49.0,Foreman (Multiple Shifts),Outfitting Docks,4,18,2020-02-24
529,HI606873,Linda,Brown,Unknown,57.0,CNC Machinist,Fabrication Shops,4,28,2020-02-17
530,HI440392,Mary,Jones,Female,21.0,Foreman (Multiple Shifts),Dry Docks,1,22,2020-02-17
531,HI407964,Michael,Rodriguez,Male,43.0,Foreman (Multiple Shifts),Wet Docks,3,22,2020-02-17
532,HI073486,Robert,Jones,Male,35.0,CNC Machinist,Paint Shops,3,18,2020-02-10
533,HI890379,Elizabeth,Miller,Female,39.0,Foreman (Multiple Shifts),Outfitting Docks,3,22,2020-02-10
534,HI734850,Charles,Williams,Male,53.0,Foreman (Multiple Shifts),Wet Docks,3,22,2020-02-10
535,HI727601,Jennifer,Rodriguez,Female,43.0,CNC Machinist,Administrative Offices,1,18,2020-02-03
536,HI280798,John,Rodriguez,Male,58.0,CNC Machinist,Cranes and Heavy Lifting Equipment,4,25,2020-02-03
537,HI981740,Patricia,Garcia,Unknown,26.0,CNC Machinist,Fabrication Shops,1,22,2020-01-27
538,HI807483,David,Brown,Male,60.0,CNC Machinist,Outfitting Docks,2,18,2020-01-27
539,HI595905,Thomas,Miller,Male,20.0,CNC Machinist,Paint Shops,2,18,2020-01-27
540,HI596442,Susan,Brown,Female,37.0,Foreman (Multiple Shifts),Outfitting Docks,3,22,2020-01-27
541,HI553587,Linda,Brown,Unknown,43.0,CNC Machinist,Administrative Offices,3,22,2020-01-20
542,HI065001,Barbara,Smith,Female,44.0,CNC Machinist,Wet Docks,3,18,2020-01-20
543,HI677483,Linda,Smith,Unknown,43.0,CNC Machinist,Testing Facilities,2,18,2020-01-20
544,HI505290,Jessica,Rodriguez,Female,30.0,Foreman (Multiple Shifts),Administrative Offices,4,25,2020-01-20
545,HI851540,Jennifer,Smith,Female,24.0,CNC Machinist,Cranes and Heavy Lifting Equipment,2,18,2020-01-13
546,HI616537,David,Miller,Male,30.0,CNC Machinist,Fabrication Shops,4,18,2020-01-13
547,HI381926,Elizabeth,Williams,Female,54.0,Foreman (Multiple Shifts),Wet Docks,3,25,2020-01-13
548,HI529018,William,Brown,Male,55.0,Foreman (Multiple Shifts),Outfitting Docks,3,22,2020-01-13
549,HI222889,Thomas,Brown,Male,34.0,CNC Machinist,Administrative Offices,1,18,2020-01-06
550,HI553150,James,Martinez,Male,57.0,CNC Machinist,Slipways,3,28,2020-01-06
551,HI402124,Sarah,Smith,Female,61.0,Foreman (Multiple Shifts),Dry Docks,2,18,2020-01-06
552,HI236656,Karen,Martinez,Female,33.0,Foreman (Multiple Shifts),Administrative Offices,3,18,2020-01-06
553,HI605316,Linda,Martinez,Female,60.0,CNC Machinist,Dry Docks,3,28,2019-12-30
554,HI085073,Mary,Rodriguez,Unknown,30.0,CNC Machinist,Storage Areas,1,18,2019-12-23
555,HI183025,Elizabeth,Miller,Female,54.0,Foreman (Multiple Shifts),Paint Shops,3,25,2019-12-16
556,HI735937,Elizabeth,Williams,Female,60.0,Foreman (Multiple Shifts),Administrative Offices,2,25,2019-12-09
557,HI863995,Susan,Smith,Female,40.0,Foreman (Multiple Shifts),Testing Facilities,3,22,2019-12-09
558,HI765512,Susan,Rodriguez,Female,48.0,Foreman (Multiple Shifts),Administrative Offices,2,28,2019-12-02
559,HI044250,Charles,Jones,Unknown,56.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,3,22,2019-11-25
560,HI789625,Robert,Miller,Male,43.0,Foreman (Multiple Shifts),Wet Docks,2,25,2019-11-11
561,HI623727,Elizabeth,Miller,Female,20.0,CNC Machinist,Testing Facilities,1,18,2019-11-04
562,HI398200,David,Martinez,Male,47.0,CNC Machinist,Storage Areas,2,18,2019-11-04
563,HI571325,Jessica,Brown,Female,55.0,CNC Machinist,Administrative Offices,2,22,2019-11-04
564,HI697846,Barbara,Davis,Female,42.0,CNC Machinist,Storage Areas,3,22,2019-10-28
565,HI007921,Barbara,Rodriguez,Female,63.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,18,2019-10-28
566,HI254589,William,Jones,Male,42.0,CNC Machinist,Paint Shops,3,28,2019-10-14
567,HI532717,Mary,Smith,Female,20.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,3,25,2019-10-07
568,HI681294,Charles,Brown,Male,47.0,Foreman (Multiple Shifts),Wet Docks,2,25,2019-10-07
569,HI689222,Jennifer,Miller,Female,62.0,CNC Machinist,Dry Docks,2,22,2019-09-30
570,HI412742,Sarah,Rodriguez,Female,40.0,Foreman (Multiple Shifts),Paint Shops,1,25,2019-09-30
571,HI772573,Richard,Jones,Male,59.0,CNC Machinist,Paint Shops,4,28,2019-09-16
572,HI819993,Karen,Martinez,Female,25.0,CNC Machinist,Fabrication Shops,2,18,2019-09-16
573,HI422138,Mary,Martinez,Female,44.0,CNC Machinist,Paint Shops,2,22,2019-09-02
574,HI224079,Sarah,Brown,Female,18.0,Foreman (Multiple Shifts),Storage Areas,2,18,2019-09-02
575,HI466847,Jessica,Smith,Female,54.0,Foreman (Multiple Shifts),Administrative Offices,4,22,2019-09-02
576,HI917070,James,Garcia,Male,31.0,Foreman (Multiple Shifts),Wet Docks,1,18,2019-09-02
577,HI101567,Michael,Brown,Male,46.0,CNC Machinist,Outfitting Docks,3,22,2019-08-26
578,HI082762,Joseph,Brown,Male,18.0,CNC Machinist,Slipways,2,25,2019-08-26
579,HI673477,Karen,Williams,Female,40.0,Foreman (Multiple Shifts),Fabrication Shops,4,18,2019-08-12
580,HI954180,Linda,Brown,Female,58.0,Foreman (Multiple Shifts),Administrative Offices,4,18,2019-08-12
581,HI938408,Sarah,Martinez,Unknown,19.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,18,2019-08-05
582,HI840027,Karen,Johnson,Female,52.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,4,22,2019-08-05
583,HI444642,David,Garcia,Male,58.0,Foreman (Multiple Shifts),Administrative Offices,1,28,2019-07-29
584,HI664624,Robert,Garcia,Unknown,20.0,Foreman (Multiple Shifts),Wet Docks,3,28,2019-07-29
585,HI527703,Karen,Brown,Female,41.0,CNC Machinist,Slipways,4,25,2019-07-22
586,HI997099,William,Miller,Male,61.0,CNC Machinist,Fabrication Shops,4,28,2019-07-22
587,HI809801,James,Martinez,Male,55.0,Foreman (Multiple Shifts),Testing Facilities,3,25,2019-07-22
588,HI031281,William,Johnson,Male,62.0,CNC Machinist,Administrative Offices,2,18,2019-07-15
589,HI865964,John,Miller,Male,59.0,CNC Machinist,Wet Docks,2,28,2019-07-15
590,HI163922,John,Johnson,Male,31.0,CNC Machinist,Administrative Offices,3,22,2019-06-24
591,HI933148,Richard,Garcia,Male,36.0,CNC Machinist,Slipways,3,18,2019-06-24
592,HI447501,David,Davis,Male,25.0,Foreman (Multiple Shifts),Storage Areas,4,25,2019-06-24
593,HI159288,Jessica,Johnson,Female,19.0,CNC Machinist,Dry Docks,4,25,2019-06-17
594,HI021949,Mary,Williams,Female,60.0,CNC Machinist,Cranes and Heavy Lifting Equipment,2,22,2019-06-10
595,HI243279,Joseph,Smith,Male,25.0,Foreman (Multiple Shifts),Administrative Offices,3,22,2019-06-10
596,HI315389,Elizabeth,Smith,Female,53.0,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2019-06-03
597,HI992004,Patricia,Garcia,Female,31.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,25,2019-06-03
598,HI497264,Jennifer,Jones,Female,34.0,Foreman (Multiple Shifts),Slipways,2,25,2019-05-20
599,HI678671,Thomas,Jones,Male,54.0,Foreman (Multiple Shifts),Testing Facilities,1,18,2019-05-20
600,HI294821,Susan,Brown,Female,43.0,CNC Machinist,Slipways,3,18,2019-05-13
601,HI994155,Barbara,Jones,Female,27.0,CNC Machinist,Wet Docks,1,22,2019-05-13
602,HI420346,Patricia,Brown,Female,19.0,Foreman (Multiple Shifts),Testing Facilities,4,22,2019-05-13
603,HI877614,Elizabeth,Brown,Female,32.0,CNC Machinist,Storage Areas,3,22,2019-05-06
604,HI319467,Jennifer,Martinez,Female,40.0,Foreman (Multiple Shifts),Outfitting Docks,1,22,2019-05-06
605,HI141325,Thomas,Johnson,Male,40.0,Foreman (Multiple Shifts),Storage Areas,3,22,2019-05-06
606,HI114978,Charles,Williams,Male,52.0,Foreman (Multiple Shifts),Administrative Offices,1,25,2019-05-06
607,HI590026,Mary,Brown,Female,32.0,CNC Machinist,Slipways,2,22,2019-04-29
608,HI412373,Karen,Williams,Unknown,42.0,Foreman (Multiple Shifts),Slipways,4,25,2019-04-29
609,HI329624,James,Martinez,Male,51.0,CNC Machinist,Dry Docks,3,25,2019-04-15
610,HI386233,Robert,Rodriguez,Male,21.0,Foreman (Multiple Shifts),Fabrication Shops,2,18,2019-04-15
611,HI164729,Elizabeth,Smith,Female,60.0,CNC Machinist,Testing Facilities,3,18,2019-04-08
612,HI685221,Jennifer,Jones,Female,36.0,CNC Machinist,Outfitting Docks,3,25,2019-04-08
613,HI852754,Jennifer,Smith,Female,28.0,Foreman (Multiple Shifts),Paint Shops,1,28,2019-04-08
614,HI483917,Patricia,Rodriguez,Female,32.0,CNC Machinist,Dry Docks,3,22,2019-04-01
615,HI255669,Robert,Jones,Male,54.0,CNC Machinist,Slipways,4,18,2019-04-01
616,HI421311,David,Martinez,Male,56.0,CNC Machinist,Outfitting Docks,2,25,2019-04-01
617,HI855757,James,Smith,Male,51.0,CNC Machinist,Administrative Offices,3,22,2019-04-01
618,HI066625,Susan,Martinez,Female,57.0,Foreman (Multiple Shifts),Outfitting Docks,2,18,2019-03-25
619,HI760444,John,Rodriguez,Male,27.0,CNC Machinist,Wet Docks,2,18,2019-03-18
620,HI108991,Elizabeth,Jones,Female,56.0,CNC Machinist,Fabrication Shops,2,22,2019-03-18
621,HI082258,Mary,Johnson,Female,48.0,CNC Machinist,Dry Docks,2,25,2019-03-04
622,HI606759,Barbara,Miller,Female,18.0,CNC Machinist,Paint Shops,1,22,2019-03-04
623,HI268498,Linda,Miller,Female,46.0,Foreman (Multiple Shifts),Fabrication Shops,2,28,2019-02-18
624,HI010334,Charles,Martinez,Male,49.0,CNC Machinist,Testing Facilities,4,18,2019-02-11
625,HI409159,William,Rodriguez,Male,32.0,CNC Machinist,Paint Shops,2,25,2019-02-11
626,HI396082,Robert,Brown,Male,25.0,CNC Machinist,Cranes and Heavy Lifting Equipment,4,18,2019-02-11
627,HI101245,David,Martinez,Male,44.0,Foreman (Multiple Shifts),Paint Shops,4,18,2019-02-11
628,HI168983,Sarah,Rodriguez,Female,35.0,Foreman (Multiple Shifts),Administrative Offices,2,22,2019-02-11
629,HI755414,Jessica,Williams,Female,57.0,Foreman (Multiple Shifts),Dry Docks,1,18,2019-02-04
630,HI614613,James,Rodriguez,Unknown,25.0,CNC Machinist,Wet Docks,4,25,2019-01-28
631,HI178304,Elizabeth,Jones,Unknown,21.0,CNC Machinist,Wet Docks,4,25,2019-01-28
632,HI319054,Jennifer,Johnson,Female,24.0,CNC Machinist,Wet Docks,2,28,2019-01-21
633,HI450416,Joseph,Johnson,Male,63.0,Foreman (Multiple Shifts),Storage Areas,2,28,2019-01-21
634,HI421464,Karen,Garcia,Female,42.0,Foreman (Multiple Shifts),Slipways,4,25,2019-01-14
635,HI784251,Sarah,Johnson,Female,52.0,Foreman (Multiple Shifts),Outfitting Docks,1,25,2019-01-14
636,HI853099,Patricia,Williams,Female,28.0,CNC Machinist,Outfitting Docks,1,28,2019-01-07
637,HI838017,Robert,Davis,Male,23.0,Foreman (Multiple Shifts),Outfitting Docks,1,28,2019-01-07
638,HI162801,Karen,Smith,Unknown,61.0,Foreman (Multiple Shifts),Cranes and Heavy Lifting Equipment,2,25,2019-01-07
639,HI430581,Charles,Martinez,Unknown,22.0,CNC Machinist,Fabrication Shops,3,28,2018-12-31
640,HI761468,Karen,Davis,Female,33.0,CNC Machinist,Administrative Offices,2,25,2018-12-24
641,HI998279,Susan,Williams,Female,41.0,CNC Machinist,Slipways,1,28,2018-12-17
642,HI468196,John,Miller,Male,59.0,CNC Machinist,Wet Docks,4,25,2018-12-17
643,HI362458,Jessica,Davis,Unknown,43.0,CNC Machinist,Storage Areas,1,18,2018-12-17
644,HI895278,John,Brown,Male,21.0,CNC Machinist,Fabrication Shops,2,18,2018-12-17
645,HI837215,Robert,Johnson,Male,58.0,CNC Machinist,Wet Docks,1,18,2018-12-10
646,HI398261,Barbara,Davis,Female,51.0,CNC Machinist,Cranes and Heavy Lifting Equipment,2,18,2018-12-03
647,HI652637,John,Smith,Unknown,40.0,CNC Machinist,Wet Docks,1,18,2018-12-03
648,HI956837,Mary,Rodriguez,Female,32.0,CNC Machinist,Storage Areas,3,28,2018-11-26
649,HI960948,Thomas,Garcia,Male,55.0,CNC Machinist,Outfitting Docks,3,22,2018-11-26
650,HI024624,Susan,Brown,Female,24.0,CNC Machinist,Fabrication Shops,1,28,2018-11-26
651,HI082182,Jennifer,Smith,Female,65.0,CNC Machinist,Administrative Offices,2,28,2018-11-12
652,HI993347,William,Garcia,Male,43.0,CNC Machinist,Slipways,3,22,2018-10-29
653,HI229748,Susan,Brown,Unknown,53.0,CNC Machinist,Wet Docks,3,18,2018-10-22
654,HI354155,Sarah,Davis,Female,41.0,CNC Machinist,Slipways,2,18,2018-10-22
655,HI032540,Elizabeth,Smith,Female,45.0,CNC Machinist,Storage Areas,4,22,2018-10-08
656,HI357653,Karen,Martinez,Female,25.0,CNC Machinist,Administrative Offices,3,25,2018-10-01
657,HI673838,John,Smith,Male,38.0,CNC Machinist,Fabrication Shops,3,28,2018-10-01
658,HI649858,Barbara,Brown,Female,18.0,CNC Machinist,Slipways,3,28,2018-10-01
659,HI651329,Linda,Johnson,Unknown,63.0,CNC Machinist,Wet Docks,2,18,2018-09-24
660,HI987015,Joseph,Davis,Male,46.0,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2018-09-24
661,HI993805,Richard,Garcia,Male,23.0,CNC Machinist,Testing Facilities,3,25,2018-09-17
662,HI987994,Sarah,Martinez,Unknown,55.0,CNC Machinist,Wet Docks,4,28,2018-09-17
663,HI327933,Jennifer,Brown,Female,55.0,CNC Machinist,Dry Docks,3,22,2018-09-17
664,HI953870,Barbara,Davis,Female,48.0,CNC Machinist,Administrative Offices,1,25,2018-09-17
665,HI507864,Jessica,Brown,Female,65.0,CNC Machinist,Storage Areas,3,28,2018-09-17
666,HI989110,Robert,Rodriguez,Male,41.0,CNC Machinist,Storage Areas,4,22,2018-09-10
667,HI036951,James,Miller,Male,51.0,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2018-09-03
668,HI221243,Joseph,Johnson,Male,39.0,CNC Machinist,Outfitting Docks,2,18,2018-09-03
669,HI458697,Mary,Davis,Unknown,19.0,CNC Machinist,Wet Docks,3,28,2018-09-03
670,HI525636,Sarah,Rodriguez,Female,62.0,CNC Machinist,Fabrication Shops,1,28,2018-08-27
671,HI703082,Michael,Garcia,Male,24.0,CNC Machinist,Slipways,2,18,2018-08-27
672,HI367086,Karen,Miller,Female,24.0,CNC Machinist,Testing Facilities,3,18,2018-08-20
673,HI049208,James,Brown,Male,59.0,CNC Machinist,Testing Facilities,2,25,2018-08-20
674,HI396649,Barbara,Martinez,Female,25.0,CNC Machinist,Outfitting Docks,1,28,2018-08-13
675,HI771220,Richard,Williams,Male,41.0,CNC Machinist,Fabrication Shops,3,22,2018-08-13
676,HI475279,Joseph,Williams,Male,29.0,CNC Machinist,Wet Docks,4,22,2018-08-06
677,HI505265,Richard,Martinez,Male,29.0,CNC Machinist,Cranes and Heavy Lifting Equipment,2,18,2018-07-30
678,HI235539,Susan,Jones,Female,58.0,CNC Machinist,Storage Areas,4,22,2018-07-30
679,HI976838,Michael,Miller,Male,36.0,CNC Machinist,Cranes and Heavy Lifting Equipment,4,28,2018-07-30
680,HI036060,Richard,Miller,Unknown,63.0,CNC Machinist,Cranes and Heavy Lifting Equipment,2,28,2018-07-23
681,HI731856,Michael,Jones,Male,49.0,CNC Machinist,Wet Docks,3,25,2018-07-16
682,HI226846,Richard,Garcia,Unknown,46.0,CNC Machinist,Wet Docks,1,28,2018-07-16
683,HI595217,John,Martinez,Male,51.0,CNC Machinist,Dry Docks,2,28,2018-07-09
684,HI499932,Charles,Williams,Male,28.0,CNC Machinist,Dry Docks,2,18,2018-06-25
685,HI954772,William,Davis,Male,36.0,CNC Machinist,Fabrication Shops,3,28,2018-06-25
686,HI408474,Jennifer,Miller,Female,24.0,CNC Machinist,Cranes and Heavy Lifting Equipment,3,22,2018-06-25
687,HI258544,Mary,Martinez,Female,49.0,Electrician Journeyman,Cranes and Heavy Lifting Equipment,3,28,1995-04-24
688,HI567028,Thomas,Davis,Male,46.0,Electrician Journeyman,Testing Facilities,1,28,1995-11-13
689,HI113569,Charles,Davis,Unknown,60.0,Electrician Journeyman,Dry Docks,2,22,1996-03-11
690,HI278841,Joseph,Brown,Male,42.0,Electrician Journeyman,Outfitting Docks,2,18,1996-11-04
691,HI100840,Mary,Johnson,Female,62.0,Electrician Journeyman,Storage Areas,3,22,1996-11-11
692,HI570142,Mary,Davis,Female,48.0,Electrician Journeyman,Administrative Offices,4,25,1997-01-06
693,HI606599,Richard,Davis,Unknown,25.0,Electrician Journeyman,Fabrication Shops,2,18,1997-01-06
694,HI769419,Richard,Johnson,Male,22.0,Electrician Journeyman,Administrative Offices,2,22,1997-03-10
695,HI940977,Thomas,Smith,Male,65.0,Electrician Journeyman,Storage Areas,4,28,1997-06-16
696,HI493842,Barbara,Miller,Female,48.0,Electrician Journeyman,Paint Shops,2,28,1997-08-04
697,HI868063,James,Davis,Male,24.0,Electrician Journeyman,Storage Areas,2,25,1997-10-06
698,HI495322,Patricia,Williams,Female,58.0,Electrician Journeyman,Slipways,1,22,1997-10-13
699,HI381728,Robert,Davis,Male,34.0,Electrician Journeyman,Fabrication Shops,3,25,1997-10-27
700,HI776094,Michael,Jones,Male,30.0,Electrician Journeyman,Dry Docks,3,22,1997-11-24
701,HI575827,Joseph,Williams,Male,37.0,Electrician Journeyman,Cranes and Heavy Lifting Equipment,3,28,1997-12-15
702,HI854510,Barbara,Martinez,Female,51.0,Electrician Journeyman,Cranes and Heavy Lifting Equipment,1,25,1998-01-05
703,HI284377,Susan,Martinez,Female,19.0,Electrician Journeyman,Paint Shops,2,18,1998-03-02
704,HI139599,Patricia,Williams,Unknown,37.0,Electrician Journeyman,Slipways,1,25,1998-03-16
705,HI707105,Thomas,Martinez,Male,23.0,Electrician Journeyman,Dry Docks,4,28,1998-09-21
706,HI063008,Barbara,Garcia,Female,46.0,Electrician Journeyman,Wet Docks,3,25,1998-10-12
707,HI032202,Robert,Williams,Male,62.0,Electrician Journeyman,Slipways,3,28,1998-11-16
708,HI416480,Susan,Williams,Female,47.0,Electrician Journeyman,Storage Areas,2,28,1998-12-07
709,HI881481,William,Garcia,Male,55.0,Electrician Journeyman,Dry Docks,4,28,1998-12-07
710,HI552342,Patricia,Davis,Female,59.0,Electrician Journeyman,Wet Docks,3,18,1998-12-14
711,HI050419,Jennifer,Brown,Female,53.0,Electrician Journeyman,Slipways,3,28,1998-12-28
712,HI393890,Charles,Garcia,Male,43.0,Electrician Journeyman,Wet Docks,2,28,1999-02-15
713,HI451643,Charles,Smith,Male,52.0,Electrician Journeyman,Fabrication Shops,3,25,1999-03-22
714,HI113601,John,Smith,Male,22.0,Electrician Journeyman,Wet Docks,3,25,1999-03-29
715,HI966804,Jessica,Brown,Female,36.0,Electrician Journeyman,Fabrication Shops,4,28,1999-04-12
716,HI693842,James,Miller,Male,48.0,Electrician Journeyman,Cranes and Heavy Lifting Equipment,2,25,1999-04-19
717,HI219985,Joseph,Johnson,Male,26.0,Electrician Journeyman,Slipways,2,22,1999-06-28
718,HI897029,Patricia,Garcia,Female,29.0,Electrician Journeyman,Dry Docks,4,28,1999-07-19
719,HI938617,Michael,Jones,Male,61.0,Electrician Journeyman,Fabrication Shops,3,18,1999-07-26
720,HI277968,James,Davis,Male,43.0,Electrician Journeyman,Administrative Offices,1,25,1999-08-23
721,HI691489,Robert,Martinez,Unknown,57.0,Electrician Journeyman,Testing Facilities,2,25,1999-09-06
722,HI021310,Barbara,Davis,Female,26.0,Electrician Journeyman,Storage Areas,2,28,1999-10-25
723,HI594508,Linda,Martinez,Female,65.0,Electrician Journeyman,Administrative Offices,3,25,1999-12-06
724,HI267744,Susan,Smith,Female,49.0,Electrician Journeyman,Administrative Offices,2,25,2000-01-24
725,HI334653,John,Williams,Male,60.0,Electrician Journeyman,Outfitting Docks,3,22,2000-03-13
726,HI046979,Sarah,Brown,Female,60.0,Electrician Journeyman,Storage Areas,2,25,2000-03-27
727,HI684344,Michael,Jones,Male,42.0,Electrician Journeyman,Storage Areas,2,18,2000-04-03
728,HI867231,Jessica,Miller,Female,49.0,Electrician Journeyman,Outfitting Docks,2,25,2000-04-03
729,HI202531,Michael,Johnson,Male,64.0,Electrician Journeyman,Administrative Offices,2,18,2000-04-24
730,HI299009,Barbara,Garcia,Female,19.0,Electrician Journeyman,Wet Docks,1,28,2000-10-09
731,HI886221,Robert,Garcia,Male,21.0,Electrician Journeyman,Administrative Offices,2,28,2000-10-09
732,HI186967,Jessica,Garcia,Female,34.0,Electrician Journeyman,Storage Areas,2,22,2000-11-13
733,HI340064,Patricia,Johnson,Female,30.0,Electrician Journeyman,Dry Docks,2,28,2000-11-27
734,HI558745,Karen,Miller,Female,63.0,Electrician Journeyman,Wet Docks,2,25,2000-12-25
735,HI981378,Jessica,Martinez,Female,42.0,Electrician Journeyman,Storage Areas,4,18,2001-01-01
736,HI920130,Robert,Garcia,Male,47.0,Electrician Journeyman,Testing Facilities,2,28,2001-01-08
